mirror_type,mirror_id,x,y
0,22,-223.24867352602791,18.331114774311914
3,0,90.16527936389708,51.828779623201584
0,0,-35.893657044923984,81.44105465882289
0,1,-21.63384144699801,99.679370504865
1,0,-8.509121024575368,78.54040271980486
0,2,9.903774286576738,84.421059309159
0,3,20.12262891918045,67.04535632973369
3,1,222.85046271653843,111.07957178088469
1,1,260.41121454983744,71.31619266813476
0,4,197.27112091560713,62.71447083967078
0,5,204.5803890413119,59.294725058014
0,6,212.06084718457228,54.69183752043336
2,0,162.749319592957,52.47531774110133
0,7,148.88786027120048,30.600736328779455
3,2,176.33047404249194,15.380634705696622
1,9,-235.51122777464707,97.77249916044038
0,23,-240.2756636275166,125.33397571431497
0,24,-212.26421738077386,143.10800823059336
2,1,-190.35944847617412,149.42315876679496
1,2,-155.87442087244233,126.90218641804682
1,3,-148.84361928898073,189.54307425215242
2,2,-125.52946336782226,153.1220226701129
0,8,-107.47424103127975,159.10150066781387
0,9,-86.33480322916036,156.80338565025363
2,3,-55.11748075937847,149.1410852674056
4,0,92.28228460991832,127.01566811686673
0,11,-62.34231683546107,-33.62949962390072
1,4,-284.7574146405203,14.64376064028502
