mirror_type,mirror_id,x,y
1,8,-256.4602523152822,42.7567419523725
0,20,-182.6607555745244,11.137700523171508
0,21,-212.75993568341804,47.51010174676346
2,4,-180.71599024463802,58.666266882254305
0,22,-200.1256091876638,100.62673872915914
3,0,103.01519384426088,14.278299521629174
0,0,-2.771663243470199,88.95683156938986
0,1,17.28200091675569,100.52528261245155
1,0,21.532233077838853,76.00896617295635
0,2,40.807305058154384,74.56382402942279
0,3,43.77300918434039,54.6253024426195
3,1,248.2344909964477,19.509932848026843
1,9,-181.73598512160106,178.87714139006474
0,23,-175.82878227914148,206.21648654323025
0,24,-143.1987518039095,212.20301006772343
2,1,-120.52330670827266,209.85264482513352
1,2,-96.98585062178124,176.05324415974144
1,3,-67.00131530885047,231.49907936508947
2,2,-59.02837241767271,188.9964318438857
0,8,-40.047909893492715,187.77690196923234
0,9,-21.308653506755,177.72715404723348
2,3,4.765195625883612,158.92857801744486
4,0,133.14355109655892,83.19732448461313
3,4,-113.9036977357015,4.684831067813162
1,4,205.68100190755524,132.01220083578784
