mirror_type,mirror_id,x,y
1,8,-16.030114729477642,259.50536684577406
0,20,-30.237487573415134,180.484609718523
0,21,-1.5681509371707978,217.99435979547326
2,4,16.510401720443056,189.28128971197756
0,22,53.029215146684464,217.63249376167764
0,14,-132.56507165146445,10.747175351788844
0,15,-234.429633317485,77.79297540671347
1,6,-220.36906955451897,78.69862250176664
3,3,-208.18667513233336,104.62938543900704
0,16,-221.08542923423587,144.28178325871107
1,7,-163.1909165397901,117.34447050842773
0,17,-124.82948971495067,84.96233575829363
0,19,-122.72066905210254,126.15719316552793
0,18,-103.92622153898793,102.54433420052617
0,0,86.0533851704509,22.711558746726787
0,1,101.83643045904434,5.7742039590082594
1,9,133.4108303795099,217.31670515045465
0,23,161.37830139522006,217.71091805142322
0,24,174.5515504682947,187.26386792201632
2,1,177.36229021658332,164.64087587573286
1,2,149.7239415637718,134.10347244798788
1,3,210.49375643753288,117.36003792099159
2,2,170.8739709283474,100.0304256672853
0,8,173.95537258212235,81.26209663683917
0,9,168.37861453010572,60.74242478632271
2,3,155.92718463928034,31.10808721968892
3,4,-21.057997748257986,112.0382110301408
0,6,-61.05230760298444,111.77151724805823
