mirror_type,mirror_id,x,y
1,4,-3.959159035748453,90.91383315936937
0,10,-4.469962200612215,111.91076551398037
0,11,26.489490484515567,117.0397662927894
0,12,34.221036127281636,99.26691637386186
1,5,52.89074322080846,94.16246216805561
0,13,67.7014284053879,86.6978465238332
0,14,95.08150838404585,92.99734815259315
0,15,212.510781414351,125.88950624520666
1,6,203.96972214389797,114.6837061161744
3,3,215.5475474997204,88.47742518210947
0,16,253.9359361043371,72.19792486501277
1,7,195.62387032404453,46.17684873875012
0,17,146.01740256665906,38.4697042838417
0,19,175.72404527142652,9.851898976625948
0,18,145.5729274082235,11.158978707753151
3,0,-97.66027302303016,35.75571385201544
3,1,-228.33740495388537,99.31278618045796
1,1,-222.02047523388566,153.64539881467184
0,4,-174.8455041634044,110.80636116146462
0,5,-176.92413389756655,118.60375560915408
0,6,-178.20646328636764,127.29279807972054
2,0,-144.81167167574083,90.94272783723524
0,7,-119.14479583507898,94.38494384920376
3,2,-125.1252936726097,125.19049837484944
0,21,-44.76144478079203,278.1324707345031
