mirror_type,mirror_id,x,y
1,8,168.73647572954147,197.80799214989736
0,20,103.62411660619429,150.8344869636445
0,21,150.30357336273053,157.9013484248766
2,4,143.36242134679406,124.68847639451003
0,22,189.32625851114628,119.71452642921247
1,4,-90.99644528474978,0.804329248218239
0,10,-111.99133544539328,1.393120654286058
0,11,-115.49301454585684,32.57857564582133
0,12,-97.33988386560527,39.369366378321075
1,5,-91.26532816336956,57.74634079517475
0,13,-83.03581114370986,72.14606065272136
0,14,-87.89371685673265,99.81830762494678
0,15,-114.5950240948784,218.80809046443926
1,6,-103.85158562971718,209.69227015365522
3,3,-77.0752829316735,219.88269772995437
0,16,-58.80900007772572,257.366473165908
1,7,-35.87540265505595,197.77248414361793
0,17,-30.775022499681974,147.83063955129217
0,19,-0.6417113473185113,175.99883012834692
0,18,-3.5249873562657785,145.9574405919005
1,9,246.92858836154346,63.6496052601697
0,23,267.32054666936216,44.505340448010934
0,24,255.64629079922182,13.452657752269928
3,4,62.68042520757512,95.22165875365532
2,0,-193.55058438700217,213.9381356316095
