mirror_type,mirror_id,x,y
1,8,-182.34892014907084,185.33448497370313
0,20,-141.2290793531883,116.37588730081008
0,21,-144.20066654834358,163.49363219102273
2,4,-111.71914078276599,153.68420082350858
0,22,-102.75810583117155,199.0396234069733
0,19,-175.38503027331413,14.700039320650978
0,18,-145.70925135590366,9.209455429181997
0,0,50.04519102050108,73.59673128421913
0,1,73.06871104059077,71.16855672884373
1,0,62.096891845275216,48.836216306714356
0,2,76.8413194057155,36.33746870640292
0,3,67.52105550284978,18.463668751932246
1,9,-41.886154771532254,251.53637915509407
0,23,-21.037463394398085,270.1822072859894
0,24,8.879576027236086,255.84595585933448
2,1,25.842886437527163,240.61617821870806
1,2,25.018299168410913,199.43691911659658
1,3,81.86654203975003,226.66907441125232
2,2,63.334358937544934,187.59733201186583
0,8,77.97305400565202,175.45427566472034
0,9,87.22633726666425,156.30920026358697
2,3,97.27099856932882,125.77500879477459
3,4,-89.39635257918756,70.7410216602615
1,5,-273.8108461845708,92.41203131512177
