mirror_type,mirror_id,x,y
1,8,257.75502053758976,34.093245484504266
0,20,177.93569777237013,42.75380051246614
0,21,217.3539478116941,16.77084883574321
1,4,-67.08533613262621,61.486239728678775
0,10,-82.29360176641359,75.9721205990127
0,11,-64.0287140623426,101.49051076589758
0,12,-45.99438301060498,94.39023642026633
1,5,-29.18351233882377,103.98231872568394
0,13,-13.432496069807762,109.17677431273833
0,14,1.473723832739541,132.99183485486924
0,15,61.250491067127875,239.2851381595516
1,6,63.1347473983339,225.32199997103828
3,3,89.85214517698655,214.97811983337684
0,16,128.50818014668343,230.61146466597788
1,7,105.67500239109388,170.9789281450855
0,17,76.04770675678485,130.4520842954763
0,19,117.28931945502067,131.22200860289448
0,18,95.04501461216331,110.82619364290042
3,2,-176.99999399484003,0.04610668711897571
3,4,110.29635991206194,28.8220920501773
