mirror_type,mirror_id,x,y
1,8,221.60395597676393,135.98414133805633
0,20,145.16281115324253,111.43050865040527
0,21,191.74139296707824,103.72674786690499
2,4,174.87662322234297,74.28436343101211
0,22,217.05379500298187,55.350249094322194
1,4,-86.29421084098442,28.884410593462473
0,10,-106.07959138654854,35.932162351616064
0,11,-99.77305054331953,66.67337088583572
0,12,-80.40992757712249,67.52217078146937
1,5,-68.9538843929119,83.12257110513931
0,13,-56.67739045518238,94.27445789391102
0,14,-52.746338752141824,122.09350411977003
0,15,-41.37092594019162,243.51067017042843
1,6,-33.97025217418463,231.52110479872522
3,3,-5.355459709895129,232.9384447687751
0,16,23.599931249886215,262.9430418265535
1,7,26.99552315032434,199.17891888912416
0,17,16.413394223214024,150.10529800800958
0,19,53.776325741320896,167.5831339656928
0,18,41.750867403334446,139.90305597473267
3,4,89.03773762526679,71.19186244630878
0,23,-187.5053300965804,-68.59060098305915
