mirror_type,mirror_id,x,y
1,4,60.30607452438444,68.14820155704324
0,10,74.52432829185085,83.60696437886283
0,11,100.35759812805499,65.7902158224748
0,12,93.57314766393698,47.634714613011425
1,5,103.45715919628772,30.993809237232835
0,13,108.92571678032341,15.335847674412042
0,14,132.99729958156573,0.8475281772655747
3,0,-45.41291537836542,93.56103418003363
0,2,-83.52456148068016,15.768564597327162
0,3,-65.47835357553869,24.75045884497374
3,1,-95.26372507551385,230.056129422228
1,1,-52.97710195671301,264.75163204080167
0,4,-48.800763774099934,201.16531871837276
0,5,-44.87947955119213,208.2182324274561
0,6,-39.76599403424796,215.35938734698368
2,0,-40.99467186542376,166.01336355440256
0,7,-20.140302357243197,150.65977638692692
3,2,-3.04297616974746,176.97384071107896
4,0,-120.26897756967955,100.91765472078669
1,2,-253.45203761335463,34.45521926873258
0,8,-82.66706733298355,155.70313736528402
