mirror_type,mirror_id,x,y
3,0,62.746459716967,82.93902454808011
0,0,-64.8618407102084,60.94211696096184
0,1,-58.861888975248554,83.30232905666871
1,0,-38.52086738844719,68.97204343530548
0,2,-23.869463473836227,81.57970773097436
0,3,-7.673730154354274,69.57811340873043
3,1,161.7326860906454,189.32389772531297
1,1,211.84433044579137,167.39766921308777
0,4,157.08452828502735,134.80894248331762
0,5,165.14894619833703,134.51700847691635
0,6,173.83323566712414,133.20287601061054
2,0,129.30779846258554,111.89500997256026
0,7,125.09533776144211,86.34324797197937
3,2,156.30336441224523,83.05575400544424
1,9,-1.0,-1.0
0,23,-270.14680030453655,21.487351749828537
0,24,-251.3069958650782,48.7933789490907
2,1,-233.61107567022972,63.16538074133805
1,2,-193.06779544905118,55.909090141437076
1,3,-211.0716532608037,116.31748445419134
2,2,-175.38002099581408,91.90129615793141
0,8,-161.09646939068227,104.46017207460922
0,9,-140.73956922036592,110.60458243520398
2,3,-109.00997309972774,115.74897738121331
4,0,35.31731553198686,152.97610017128193
1,5,-125.95521030864495,189.01688008453212
