mirror_type,mirror_id,x,y
1,4,24.32853547001635,87.68764087306806
0,10,30.331141718844464,107.81475706985279
0,11,61.36027934078105,103.12572966637045
0,12,63.22130354194311,83.83356594143835
1,5,79.39988703396084,73.2096847349738
0,13,91.17899259900938,61.533659964525036
0,14,119.16564913877399,59.063932017218555
0,15,241.01176029033348,54.05859230274904
1,6,229.42594753966603,46.04057553426553
3,3,232.338927620858,17.539176491207318
3,0,-81.83131581543614,64.1843886931577
3,1,-186.47243820683104,165.0122110305767
1,1,-163.6749803808837,214.7335576879341
0,4,-132.04690739577646,159.41334400611274
0,5,-131.61427435323532,167.4714387185806
0,6,-130.14878028624065,176.13147075410419
2,0,-109.62123556628634,131.24094145090837
0,7,-84.1468827990784,126.58318259231028
3,2,-80.31523436858248,157.72908142863085
4,0,-152.33642902533146,37.98173760914783
0,22,65.7064983187359,152.55230613316573
1,7,106.79079836742204,76.72166648053368
2,2,137.3796827718933,57.18528473576305
